,time,bat,ANTENNA
0,2020-06-02 17:02,E20000167210010717506148,104
1,2020-06-02 17:26,E20000167210004019704B29,102
2,2020-06-02 17:33,E2000016720801690940BA3E,104
3,2020-06-02 20:20,E20000167210003215007D20,103
4,2020-06-02 20:48,Riddler,103
5,2020-06-02 22:16,307410CD2C02D58000000001,103
6,2020-06-02 22:49,Riddler,103
7,2020-06-03 03:10,Yumi,104
