TIME,bat,ANTENNA
2020-06-02 17:02:18,E20000167210010717506148,103
2020-06-02 17:02:18,E20000167210010717506148,103
2020-06-02 17:02:18,E20000167210010717506148,103
2020-06-02 17:02:18,E20000167210010717506148,103
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:02:19,E20000167210010717506148,104
2020-06-02 17:26:34,E20000167210004019704B29,101
2020-06-02 17:26:34,E20000167210004019704B29,101
2020-06-02 17:26:34,E20000167210004019704B29,101
2020-06-02 17:26:35,E20000167210004019704B29,102
2020-06-02 17:33:45,E2000016720801690940BA3E,104
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,103
2020-06-02 17:33:46,E2000016720801690940BA3E,104
2020-06-02 17:33:46,E2000016720801690940BA3E,104
2020-06-02 17:33:46,E2000016720801690940BA3E,104
